时间	大盘开盘	大盘最高	大盘最低	大盘收盘	大盘涨跌	大盘涨幅	大盘振幅	开盘	最高	最低	收盘	涨幅	振幅	总手	金额	换手	成交次数
2016-03-07	2886.64	2911.84	2871.35	2897.34	+23.19	0.81	1.41	9.25	9.34	9.11	9.17	-1.71	2.47	121,800,761	1,120,412,940	0.412	2782
2016-03-08	2895.67	2902.62	2802.56	2901.39	+4.05	0.14	3.45	9.11	9.37	8.73	9.29	+1.31	6.98	137,904,130	1,247,011,600	0.467	2659
2016-03-09	2839.41	2863.01	2811.72	2862.56	-38.83	-1.34	1.77	9.01	9.35	8.91	9.34	+0.54	4.74	179,947,700	1,654,141,400	0.609	2489
2016-03-10	2847.57	2863.18	2803.48	2804.73	-57.83	-2.02	2.09	9.18	9.27	9.02	9.05	-3.10	2.68	81,971,811	749,221,020	0.277	2589
2016-03-11	2781.60	2815.61	2772.55	2810.31	+5.58	0.20	1.54	9.00	9.15	8.87	9.12	+0.77	3.09	86,822,433	785,309,400	0.294	2365
2016-03-14	2830.08	2889.82	2823.03	2859.50	+49.19	1.75	2.38	9.19	9.27	8.94	9.03	-0.99	3.62	93,900,677	856,642,710	0.318	2710
2016-03-15	2853.98	2865.79	2819.79	2864.37	+4.87	0.17	1.61	9.08	9.20	8.96	9.17	+1.55	2.66	71,665,039	651,887,440	0.243	2500
2016-03-16	2858.71	2881.53	2854.19	2870.43	+6.06	0.21	0.954	9.11	9.58	9.08	9.44	+2.94	5.45	340,492,240	3,209,502,800	1.15	2794
2016-03-17	2875.41	2921.00	2857.19	2904.83	+34.40	1.20	2.22	9.46	9.48	9.01	9.20	-2.54	4.98	172,358,070	1,590,776,700	0.583	2674
2016-03-18	2915.52	2971.55	2908.74	2955.15	+50.32	1.73	2.16	9.19	9.23	9.08	9.13	-0.76	1.63	154,331,490	1,413,272,800	0.522	2805
2016-03-21	2978.46	3028.32	2973.76	3018.80	+63.65	2.15	1.85	9.16	9.26	9.12	9.20	+0.77	1.53	86,113,968	792,628,820	0.291	2723
2016-03-22	3001.63	3019.10	2988.43	2999.36	-19.44	-0.64	1.02	9.24	9.38	9.15	9.19	-0.11	2.50	86,599,242	801,440,080	0.293	2592
2016-03-23	2991.17	3012.56	2980.86	3009.96	+10.60	0.35	1.06	9.15	9.21	9.12	9.16	-0.33	0.98	49,278,679	451,896,390	0.167	2566
2016-03-24	2986.80	2998.15	2960.54	2960.97	-48.99	-1.63	1.25	9.12	9.15	9.08	9.09	-0.76	0.76	56,862,433	517,297,860	0.192	2483
2016-03-25	2956.20	2981.41	2952.11	2979.43	+18.46	0.62	0.990	9.09	9.14	9.09	9.09	+0.00	0.55	35,564,541	323,644,190	0.120	2423
2016-03-28	2988.01	3008.17	2948.53	2957.82	-21.61	-0.73	2.00	9.10	9.12	8.86	8.93	-1.76	2.86	75,006,156	675,638,310	0.254	2661
2016-03-29	2956.71	2962.20	2905.25	2919.83	-37.99	-1.28	1.93	8.96	9.05	8.92	8.94	+0.11	1.46	56,201,105	505,016,380	0.190	2642
2016-03-30	2941.22	3001.11	2941.22	3000.64	+80.81	2.77	2.05	9.02	9.17	8.97	9.14	+2.24	2.24	75,089,889	681,081,720	0.254	2502
2016-03-31	3009.37	3023.41	2992.92	3003.92	+3.27	0.11	1.02	9.17	9.18	9.06	9.11	-0.33	1.31	34,874,010	317,617,010	0.118	2512
2016-04-01	2997.09	3009.67	2956.25	3009.53	+5.61	0.19	1.78	9.14	9.25	8.98	9.24	+1.43	2.96	94,110,162	862,334,340	0.318	2389
2016-04-05	3000.94	3057.33	2993.15	3053.07	+43.54	1.45	2.13	9.12	9.27	9.01	9.22	-0.22	2.81	70,146,624	641,918,120	0.237	2692
2016-04-06	3039.74	3059.79	3029.00	3050.59	-2.47	-0.08	1.01	9.13	9.22	9.01	9.05	-1.84	2.28	104,380,981	946,880,150	0.353	2654
2016-04-07	3058.34	3062.36	3007.06	3008.42	-42.17	-1.38	1.81	9.07	9.08	8.98	8.99	-0.66	1.10	57,633,283	519,530,370	0.195	2403
2016-04-08	2988.20	2996.17	2960.46	2984.96	-23.46	-0.78	1.19	8.92	9.04	8.89	8.99	+0.00	1.67	41,917,126	376,952,960	0.142	2299
2016-04-11	3006.91	3048.98	3006.91	3033.96	+49.00	1.64	1.41	8.95	9.08	8.95	9.01	+0.22	1.45	49,848,199	450,314,670	0.169	2392
2016-04-12	3031.30	3036.82	3001.32	3023.65	-10.31	-0.34	1.17	9.03	9.06	8.99	9.03	+0.22	0.78	33,049,869	298,266,580	0.112	2193
2016-04-13	3041.36	3097.16	3041.36	3066.64	+42.99	1.42	1.85	9.06	9.15	9.02	9.11	+0.89	1.44	113,694,986	1,035,536,490	0.385	2464
2016-04-14	3080.09	3086.70	3056.99	3082.36	+15.72	0.51	0.969	9.18	9.18	9.09	9.11	+0.00	0.99	70,910,543	647,034,050	0.240	2192
2016-04-15	3085.03	3089.95	3066.87	3078.12	-4.25	-0.14	0.749	9.14	9.26	9.11	9.21	+1.10	1.65	116,850,044	1,075,061,870	0.395	2667
2016-04-18	3058.46	3058.46	3022.97	3033.66	-44.46	-1.44	1.15	9.11	9.27	9.10	9.19	-0.22	1.85	108,633,799	1,002,520,820	0.368	2456
2016-04-19	3047.13	3054.50	3024.90	3042.82	+9.16	0.30	0.976	9.23	9.26	9.15	9.20	+0.11	1.20	84,446,088	778,031,960	0.286	2385
2016-04-20	3050.38	3055.69	2905.05	2972.58	-70.24	-2.31	4.95	9.20	9.34	8.93	9.32	+1.30	4.46	159,289,050	1,462,074,600	0.539	2500
2016-04-21	2954.37	2990.67	2943.46	2952.89	-19.69	-0.66	1.59	9.24	9.58	9.20	9.30	-0.21	4.08	166,955,090	1,570,407,200	0.565	2580
2016-04-22	2933.03	2960.21	2926.78	2959.24	+6.35	0.22	1.13	9.25	9.54	9.23	9.40	+1.08	3.33	73,060,688	687,777,250	0.247	2508
2016-04-25	2949.97	2954.09	2917.02	2946.67	-12.57	-0.42	1.25	9.32	9.50	9.25	9.44	+0.43	2.66	70,294,066	662,746,750	0.238	2393
2016-04-26	2944.72	2965.43	2933.97	2964.70	+18.03	0.61	1.07	9.40	9.58	9.38	9.46	+0.21	2.12	75,849,017	715,842,100	0.257	2114
2016-04-27	2967.19	2976.02	2949.43	2953.67	-11.03	-0.37	0.897	9.50	9.51	9.38	9.39	-0.74	1.37	75,642,231	713,834,310	0.256	2188
2016-04-28	2955.74	2959.51	2916.37	2945.59	-8.08	-0.27	1.46	9.43	9.50	9.33	9.37	-0.21	1.81	44,022,757	414,173,680	0.149	2152
2016-04-29	2935.38	2950.58	2930.36	2938.32	-7.27	-0.25	0.686	9.36	9.48	9.29	9.30	-0.75	2.03	69,704,517	653,497,040	0.236	2399
2016-05-03	2940.39	2993.53	2929.81	2992.64	+54.32	1.85	2.17	9.31	9.42	9.28	9.38	+0.86	1.51	45,857,553	429,277,700	0.155	2211
2016-05-04	2983.03	3004.42	2978.33	2991.27	-1.37	-0.05	0.872	9.30	9.41	9.30	9.38	+0.00	1.17	23,346,729	218,537,650	0.079	1991
2016-05-05	2987.02	2999.12	2977.20	2997.84	+6.57	0.22	0.733	9.35	9.39	9.34	9.36	-0.21	0.53	23,339,999	218,547,020	0.079	2099
2016-05-06	2998.40	3003.59	2913.04	2913.25	-84.59	-2.82	3.02	9.36	9.37	9.23	9.26	-1.07	1.50	42,386,881	394,524,300	0.143	2151
2016-05-09	2896.16	2896.16	2821.83	2832.11	-81.14	-2.79	2.55	9.25	9.33	9.11	9.22	-0.43	2.38	46,376,407	428,376,260	0.157	2356
2016-05-10	2822.33	2845.24	2820.16	2832.59	+0.48	0.02	0.885	9.13	9.31	9.13	9.26	+0.43	1.95	35,271,024	326,325,200	0.119	2246
2016-05-11	2843.54	2857.25	2818.70	2837.04	+4.45	0.16	1.36	9.28	9.33	9.23	9.28	+0.22	1.08	36,948,245	342,794,140	0.125	2118
2016-05-12	2812.11	2839.28	2781.24	2835.86	-1.18	-0.04	2.05	9.27	9.34	9.23	9.27	-0.11	1.19	73,296,372	679,291,050	0.248	2446
2016-05-13	2828.46	2850.09	2814.11	2827.11	-8.75	-0.31	1.27	9.23	9.28	9.18	9.19	-0.86	1.08	108,521,482	1,003,169,360	0.367	2511
2016-05-16	2816.78	2851.23	2804.99	2850.86	+23.75	0.84	1.64	9.15	9.24	9.15	9.20	+0.11	0.98	33,077,545	303,958,060	0.112	1988
2016-05-17	2850.93	2860.32	2832.46	2843.68	-7.18	-0.25	0.977	9.20	9.20	9.07	9.08	-1.30	1.41	56,884,363	517,681,180	0.192	2382
2016-05-18	2828.18	2828.26	2781.42	2807.51	-36.17	-1.27	1.65	9.08	9.17	9.02	9.13	+0.55	1.65	138,645,360	1,257,228,140	0.469	2138
2016-05-19	2802.31	2829.40	2801.55	2806.91	-0.61	-0.02	0.992	9.10	9.11	8.99	9.00	-1.42	1.31	57,010,744	516,598,540	0.193	2262
2016-05-20	2792.89	2825.95	2785.08	2825.48	+18.58	0.66	1.46	8.98	9.04	8.98	9.00	+0.00	0.67	157,346,350	1,416,296,600	0.532	1981
2016-05-23	2826.31	2848.07	2826.26	2843.65	+18.16	0.64	0.772	9.00	9.03	8.86	8.87	-1.44	1.89	128,147,729	1,144,884,240	0.434	2443
2016-05-24	2839.68	2839.70	2807.19	2821.67	-21.98	-0.77	1.14	8.88	8.88	8.66	8.68	-2.14	2.48	217,477,170	1,897,145,500	0.736	2688
2016-05-25	2835.03	2843.17	2807.75	2815.09	-6.58	-0.23	1.26	8.75	8.87	8.69	8.86	+2.07	2.07	74,010,107	651,147,900	0.250	2669
